,name_list
0,Fónagy János
1,Biró Marcell
2,Juhász Edit
3,Kovács József
4,Orbán Balázs
5,Janó Márk
6,Azbej Tristan
7,Aszódi Attila
8,Kovács Pál
9,Becskeházi Attila
10,Fürjes Balázs
11,Potápi Árpád János
12,Soltész Miklós
13,Takács Szabolcs Ferenc
14,Tuzson Bence
15,György István
16,Varga Judit
17,Dömötör Csaba
18,Vidoven Árpád
19,Rédey Krisztina
20,Nagy János
21,Kovács Zoltán
22,Tuzson Bence
23,Farkas Sándor
24,Tomasitz István
25,Szinay Attila
26,Bitay Márton Örs
27,Zambó Péter
28,Feldman Zsolt
29,Kis Miklós Zsolt
30,Rácz András
31,Zsigó Róbert
32,Kontrát Károly
33,Felkai László
34,Pogácsás Tibor
35,Rétvári Bence
36,Latorcai Csaba
37,Bódis József
38,Maruzsa Zoltán
39,Fekete Péter
40,Fülöp Attila
41,Nagy Anikó
42,Horváth Ildikó
43,Pacsay-Tomassich Orsolya
44,Lőrinczi Zoltán
45,Szabó Tünde
46,Novák Katalin
47,Vitályos Eszter
48,Németh Szilárd
49,Kádár Pál
50,Vidoven Árpád
51,Szabó István
52,Völner Pál
53,Raisz Anikó
54,Kecsmár Krisztián
55,Bóka János
56,Vízkelety Mariann
57,Steiner Attila
58,Cseresnyés Péter
59,Schanda Tamás
60,Gazsó Balázs
61,Bódis József
62,György László
63,Mosóczi László
64,Kaderják Péter
65,Kara Ákos
66,Cseresnyés Péter
67,Schanda Tamás
68,Perényi Zsigmond
69,Weingartner Balázs
70,Boros Anita
71,Bodó Sándor
72,Magyar Levente
73,Balogh Csaba
74,Pacsay-Tomassich Orsolya
75,Menczer Tamás
76,Sztáray Péter
77,Vargha Tamás
78,Tállai András
79,Gondos Judit
80,Banai Péter Benő
81,Hornung Ágnes
82,Gion Gábor
83,Izer Norbert
84,Rákossy Balázs
85,Bodó Sándor
86,Sors László
